text,label,origin
"Did you say bold, then torch later. Or one torch and 2bold?",0,real
If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,0,real
"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",0,real
"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",0,real
Rs.2499 withdrawn from ATM **8147 on 01-03-26. Avl bal Rs.62004. Not you? Call 1800570103.,0,synthetic
Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,0,real
Gud ni8 dear..slp well..take care..swt dreams..Muah..,0,real
"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! ",0,real
"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",0,real
And whenever you and i see we can still hook up too.,0,real
Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,0,real
"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",0,real
Rs.50000.00 debited from a/c **6250 on 15-03-26 to VPA shop839@oksbi. Avl bal Rs.37108.00. Not you? Call 1800497803.,0,synthetic
This is Enforcement Directorate. A case has been registered against your Aadhaar. Call 1800544114 immediately.,1,synthetic
Congratulations! You won Rs.50000 lottery. Send Rs.499 processing fee via UPI to claim.,1,synthetic
Yar lor... How u noe? U used dat route too?,0,real
Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,0,real
Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.,1,real
Still i have not checked it da. . .,0,real
"Aight that'll work, thanks",0,real
Have you laid your airtel line to rest?,0,real
"It‘s reassuring, in this crazy world.",0,real
You tell what happen dont behave like this to me. Ok no need to say,0,real
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,0,real
Total video converter free download type this in google search:),0,real
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,real
"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",0,real
Sac needs to carry on:),0,real
Your UPI Autopay mandate for Rs.99 to Zomato is due on 14-08-26.,0,synthetic
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",1,real
I can't make it tonight,0,real
Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .,0,real
You will be in the place of that man,0,real
As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,1,real
"They can try! They can get lost, in fact. Tee hee",0,real
Dear umma she called me now :-),0,real
There are no other charges after transfer charges and you can withdraw anyhow you like,0,real
Have your lunch and come quickly and open the door:),0,real
